trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
47,True,1.514375900005689,800.0,50.0,33.0,0,False,2,down,0.25,28,0,0.4860925999819301,0.4860925999819301,4.469122200011043,True,near-000,7,1,1,0.625,0.5,down,8,0
48,True,4.020334500004537,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.29809980001300573,0.29809980001300573,2.300838900002418,False,near-rnd2,7,2,1,1.25,1.0,up,16,0
49,True,2.5325364000163972,800.0,50.0,33.0,10,False,2,up,0.25,28,0.1702549000037834,0.49439750000601634,0.6646524000097997,0.6339650000154506,True,near-160,7,3,2,1.875,1.0,up,16,0
50,True,2.7138622000056785,800.0,33.0,50.0,0,False,3,up,0.25,44,0,0.7875586000154726,0.7875586000154726,3.241981900006067,False,near-rnd3,8,5,2,3.125,0.5,up,16,0
51,True,1.4791425000003073,800.0,50.0,33.0,10,False,2,up,0.25,28,0.22940419998485595,0.4867292999988422,0.7161334999836981,0.6037789999973029,True,near-160,8,4,3,2.5,0.5,up,16,0
52,True,2.3512868999969214,800.0,50.0,33.0,15,False,2,up,0.25,16,0.2531135000172071,0.30716360002406873,0.5602771000412758,1.2568862000189256,False,near-240,8,1,0,0.625,0.5,up,16,0
53,True,1.4339793999970425,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.29422780001186766,0.29422780001186766,0.9015513999911491,False,near-rnd2,8,3,1,1.875,1.0,up,16,0
54,True,1.3624572000117041,800.0,50.0,33.0,5,False,2,up,0.25,16,0.08788939999067225,0.3007528000161983,0.38864220000687055,2.472031400015112,False,near-080,8,3,2,1.875,1.0,up,16,0
55,True,1.5680980999895837,800.0,50.0,33.0,0,False,2,down,0.25,28,0,0.48725829998147674,0.48725829998147674,0.9945676999923307,False,near-000,8,2,1,1.25,1,down,8,0
56,True,2.0433303999889176,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.283720599982189,0.283720599982189,4.070930499990936,False,near-rndm,8,3,2,1.875,1.0,up,16,0
57,True,1.4569414999859873,800.0,33.0,50.0,0,False,3,up,0.25,60,0,0.9789478000020608,0.9789478000020608,4.149719300010474,True,near-rnd3,9,1,1,0.625,0.5,up,16,0
58,True,2.631317699997453,800.0,50.0,33.0,0,False,2,down,0.25,28,0,0.482890099985525,0.482890099985525,0.5582336000225041,True,near-000,9,3,2,1.875,1,down,8,0
59,True,2.8880809000111185,800.0,50.0,33.0,10,False,2,up,0.25,28,0.17364210000960156,0.489696400007233,0.6633385000168346,0.6560628000006545,True,near-160,9,5,4,3.125,0.5,up,16,0
60,True,2.4726885999843944,800.0,50.0,33.0,15,False,2,up,0.25,16,0.2535432000004221,0.3040597999934107,0.5576029999938328,0.6558044999837875,True,near-240,9,2,1,1.25,1.0,up,16,0
61,True,3.1750556999759283,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.28359519998775795,0.28359519998775795,1.4592241999926046,False,near-rndm,9,4,2,2.5,0.5,up,16,0
62,True,1.318766800017329,800.0,100.0,50.0,0,False,1,up,0.25,32,0,0.558772799995495,0.558772799995495,0.5678729999926873,True,near-rnd2,9,1,1,0.625,0.5,up,16,0
63,True,2.129423100006534,800.0,50.0,33.0,5,False,2,up,0.25,16,0.0936455000191927,0.3025902999797836,0.3962357999989763,1.7808680000016466,False,near-080,9,4,2,2.5,0.5,up,16,0
64,True,3.8407910999958403,800.0,33.0,50.0,0,False,3,up,0.25,60,0,0.9796817000024021,0.9796817000024021,0.5944275000074413,True,near-rnd3,10,2,2,1.25,1.0,up,16,0
65,True,1.85484539999743,800.0,50.0,33.0,10,False,2,down,0.25,12,0.17468209998332895,0.24484329999540932,0.4195253999787383,0.9752980999764986,False,near-160,10,1,0,0.625,0.5,down,8,0
66,True,3.2085546999878716,800.0,50.0,33.0,5,False,2,up,0.25,16,0.0924403999815695,0.30245519999880344,0.39489559998037294,0.8018550999986473,False,near-080,10,5,2,3.125,0.5,up,16,0
67,True,3.32155920000514,800.0,100.0,50.0,0,False,1,up,0.25,32,0,0.5601727000030223,0.5601727000030223,0.5116388000024017,True,near-rnd2,10,2,2,1.25,1.0,up,16,0
68,True,4.5974296999920625,800.0,50.0,33.0,15,False,2,up,0.25,16,0.25009770001634024,0.30294019999564625,0.5530379000119865,2.70722179999575,False,near-240,10,3,1,1.875,1.0,up,16,0
69,True,1.5798816999886185,800.0,50.0,33.0,0,False,2,down,0.25,28,0,0.4832755000097677,0.4832755000097677,0.8593582999892533,True,near-000,10,4,3,2.5,1,down,8,0
70,True,1.431274200003827,800.0,800.0,50.0,0,False,0,up,0.25,16,0,0.2874158000049647,0.2874158000049647,0.9839297999860719,True,near-rndm,10,5,3,3.125,0.5,up,16,0
71,True,1.1841595000005327,800.0,50.0,33.0,10,False,2,down,0.25,12,0.16761030000634491,0.24150810000719503,0.40911840001353994,0.945617499994114,True,near-160,11,2,1,1.25,1,down,8,0
72,True,1.925735500000883,800.0,33.0,50.0,0,False,3,up,0.25,60,0,0.9836854000168387,0.9836854000168387,0.9010406000015792,False,near-rnd3,11,3,2,1.875,1.0,up,16,0
73,True,2.638773000013316,800.0,100.0,50.0,0,False,1,up,0.25,32,0,0.5537987000134308,0.5537987000134308,0.5071037999878172,True,near-rnd2,11,3,3,1.875,1.0,up,16,0
74,True,1.6664210000017192,800.0,50.0,33.0,0,False,2,down,0.25,28,0,0.4848603999998886,0.4848603999998886,0.8651995999971405,False,near-000,11,5,3,3.125,1,down,8,0
