trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
56,TRUE,1.7485329,33,100,800,5,TRUE,2,down,0.25,28,0.0896093,0.5052665,0.5948758,281.1896116,TRUE,far-080,12,6,5,4.5,0.5,down,16,0
64,TRUE,1.2755643,33,100,800,5,TRUE,2,down,0.25,28,0.0949301,0.5045454,0.5994755,311.5568705,FALSE,far-080,13,7,5,5.25,0.5,down,16,0
70,TRUE,1.6526001,33,100,800,5,TRUE,2,down,0.25,28,0.0924754,0.4927556,0.585231,342.2601024,FALSE,far-080,14,8,5,6,0.5,down,16,0
74,TRUE,1.4367183,33,100,800,5,TRUE,2,up,0.25,36,0.0877838,0.6225968,0.7103806,356.5845969,TRUE,far-080,15,1,1,0.75,0.5,up,4,0
80,TRUE,2.039083,33,100,800,5,TRUE,2,up,0.25,36,0.0928787,0.6176937,0.7105724,390.0232552,TRUE,far-080,16,2,2,1.5,1,up,4,0
83,TRUE,1.876154,33,100,800,5,TRUE,2,up,0.25,36,0.0878771,0.6228101,0.7106872,403.7015976,TRUE,far-080,17,3,3,2.25,1,up,4,0
87,TRUE,2.2240112,33,100,800,5,TRUE,2,up,0.25,36,0.0882528,0.6418067,0.7300595,419.060424,TRUE,far-080,18,4,4,3,1,up,4,0
92,TRUE,1.3070456,33,100,800,5,TRUE,2,up,0.25,36,0.0911273,0.6274294,0.7185567,439.429877,TRUE,far-080,19,5,5,3.75,1,up,4,0
96,TRUE,15.0261073,33,100,800,5,TRUE,2,down,0.25,32,0.0925061,0.567659,0.6601651,494.2404756,TRUE,far-080,20,1,1,0.75,1,down,2,0
104,TRUE,1.7274182,33,100,800,5,TRUE,2,down,0.25,32,0.088613,0.5569833,0.6455963,523.2428817,TRUE,far-080,21,2,2,1.5,2,down,2,0
106,TRUE,1.8846183,33,100,800,5,TRUE,2,down,0.25,32,0.0915257,0.55624,0.6477657,530.1081869,TRUE,far-080,22,3,3,2.25,2,down,2,0
113,TRUE,7.435387,33,100,800,5,TRUE,2,down,0.25,32,0.0891971,0.5537457,0.6429428,562.1796218,TRUE,far-080,23,4,4,3,2,down,2,0
119,TRUE,1.2585153,33,100,800,5,TRUE,2,down,0.25,32,0.0925371,0.5660285,0.6585656,581.0439506,TRUE,far-080,24,5,5,3.75,2,down,2,0
124,TRUE,1.7665154,33,100,800,5,TRUE,2,down,0.25,32,0.0936451,0.5603492,0.6539943,598.0794037,FALSE,far-080,25,6,5,4.5,2,down,2,0
126,TRUE,2.0491037,33,100,800,5,TRUE,2,down,0.25,32,0.0877418,0.5626401,0.6503819,604.3459635,TRUE,far-080,26,7,6,5.25,2,down,2,0
135,TRUE,3.239535,33,100,800,5,TRUE,2,down,0.25,32,0.0915926,0.5671462,0.6587388,638.1897649,TRUE,far-080,27,8,7,6,2,down,2,0
136,TRUE,2.3962073,33,100,800,5,TRUE,2,down,0.25,32,0.0926157,0.5543718,0.6469875,641.8698922,TRUE,far-080,28,9,8,6.75,2,down,2,1
145,TRUE,2.3144801,33,100,800,5,TRUE,2,down,0.25,32,0.0876361,0.5676315,0.6552676,677.7054878,TRUE,far-080,29,10,9,7.5,2,down,2,1
148,FALSE,0.8418735,33,100,800,5,TRUE,2,down,0.25,32,0.0879941,0.5588373,0.6468314,692.2051032,FALSE,far-080,30,11,9,8.25,2,down,2,1
153,TRUE,2.0581223,33,100,800,5,TRUE,2,down,0.25,32,0.0925895,0.6904581,0.7830476,709.1143307,TRUE,far-080,30,11,10,8.25,2,down,2,1
160,TRUE,4.054785,33,100,800,5,TRUE,2,down,0.25,32,0.0861294,0.5619475,0.6480769,736.4890944,TRUE,far-080,31,12,11,9,2,down,2,1
165,TRUE,5.4852223,33,100,800,5,TRUE,2,down,0.25,32,0.0879862,0.5699005,0.6578867,759.187682,TRUE,far-080,32,13,12,9.75,2,down,2,1
167,TRUE,2.3446037,33,100,800,5,TRUE,2,down,0.25,31,0.0876687,0.5522833,0.639952,766.4334376,TRUE,far-080,33,1,1,0.75,2,down,1,0
172,TRUE,3.4250296,33,100,800,5,TRUE,2,down,0.25,31,0.0923488,0.544284,0.6366328,783.3798366,TRUE,far-080,34,2,2,1.5,2,down,1,0
180,TRUE,2.2410699,33,100,800,5,TRUE,2,down,0.25,31,0.087425,0.5386329,0.6260579,810.1361087,TRUE,far-080,35,3,3,2.25,2,down,1,0
181,TRUE,1.4492284,33,100,800,5,TRUE,2,down,0.25,31,0.0893509,0.5457436,0.6350945,812.7604244,TRUE,far-080,36,4,4,3,2,down,1,0
186,TRUE,1.264364,33,100,800,5,TRUE,2,down,0.25,31,0.0904404,0.5484574,0.6388978,831.2151185,TRUE,far-080,37,5,5,3.75,2,down,1,0
