trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
11,3,True,1.8710643000085838,100.0,50.0,1,False,start,0.16666666666666666,44,0.704,0.7712618999648839,0.7712618999648839,0.33970279997447506,True,far_1,2,1,1,0.625,1.0,start,16,0
12,4,True,3.8407943000202067,50.0,800.0,2,True,start,0.16666666666666666,44,0.704,0.7750060000107624,0.7750060000107624,0.5452254000119865,True,near_2,2,1,1,0.625,1.0,start,16,0
13,1,True,1.3282706000027247,50.0,50.0,0,True,start,0.16666666666666666,44,0.704,0.7344389000209048,0.7344389000209048,0.2538627000176348,True,near_0,2,1,1,0.625,1.0,start,16,0
14,3,True,1.0014308000099845,800.0,50.0,2,False,start,0.16666666666666666,44,0.704,0.7567714999895543,0.7567714999895543,0.40417980001075193,True,far_2,2,1,1,0.625,1.0,start,16,0
15,1,True,2.983948299952317,800.0,50.0,2,False,start,0.16666666666666666,28,0.448,0.4833756000152789,0.4833756000152789,0.6571240000193939,True,far_2,3,1,1,0.625,1.0,start,16,0
16,1,True,2.4692901999806054,800.0,33.0,3,False,start,0.16666666666666666,28,0.448,0.5332208999898285,0.5332208999898285,2.377206700039096,False,far_3,3,1,0,0.625,1.0,start,16,0
17,1,True,2.3009232000331394,33.0,33.0,0,True,start,0.16666666666666666,28,0.448,0.46488240000326186,0.46488240000326186,0.4356717999908142,True,near_0,3,1,1,0.625,1.0,start,16,0
18,2,True,1.796282599971164,33.0,800.0,3,True,start,0.16666666666666666,28,0.448,0.47622479998972267,0.47622479998972267,1.1022519000107422,True,near_3,3,1,1,0.625,1.0,start,16,0
19,2,True,7.057825400028378,33.0,100.0,2,True,start,0.16666666666666666,28,0.448,0.4892552000237629,0.4892552000237629,1.9205567999742925,False,near_2,3,1,0,0.625,1.0,start,16,0
20,2,True,1.5792052000178955,33.0,50.0,1,True,start,0.16666666666666666,28,0.448,0.4775624999892898,0.4775624999892898,0.5999153999728151,True,near_1,3,1,1,0.625,1.0,start,16,0
21,2,True,2.016237700008787,50.0,33.0,1,False,start,0.16666666666666666,28,0.448,0.4777693999931216,0.4777693999931216,0.6206687000230886,True,far_1,3,1,1,0.625,1.0,start,16,0
22,3,True,11.973106100049336,800.0,50.0,2,False,start,0.16666666666666666,12,0.192,0.24655430001439527,0.24655430001439527,1.330807599995751,False,far_2,4,1,0,0.625,0.5,start,16,0
23,2,True,1.4240684999967925,800.0,800.0,0,True,start,0.16666666666666666,12,0.192,0.23219929996412247,0.23219929996412247,0.9047269999864511,True,near_0,4,1,1,0.625,0.5,start,16,0
24,4,True,1.1624285000143573,100.0,50.0,1,False,start,0.16666666666666666,12,0.192,0.2693272000178695,0.2693272000178695,0.9261631999979727,True,far_1,4,1,1,0.625,0.5,start,16,0
25,3,True,2.960246999980882,33.0,800.0,3,True,start,0.16666666666666666,12,0.192,0.2259086999692954,0.2259086999692954,1.1892626999760978,True,near_3,4,1,1,0.625,0.5,start,16,0
26,1,True,2.57092540001031,33.0,100.0,2,True,up,0.16666666666666666,44,0.704,0.7420004999730736,0.7420004999730736,0.430047600006219,True,near_2,4,1,1,0.625,0.5,up,8,0
27,1,True,2.1893798000528477,800.0,33.0,3,False,up,0.16666666666666666,44,0.704,0.7301725000143051,0.7301725000143051,0.6468019000021741,True,far_3,4,1,1,0.625,0.5,up,8,0
28,3,True,1.719416000007186,33.0,50.0,1,True,start,0.16666666666666666,12,0.192,0.22615489998133853,0.22615489998133853,1.0975583999534138,False,near_1,4,1,0,0.625,0.5,start,16,0
29,2,True,2.7698580999858677,800.0,33.0,3,False,up,0.16666666666666666,44,0.704,0.7319894999964163,0.7319894999964163,0.6071751000126824,True,far_3,5,2,2,1.25,1,up,8,0
30,2,True,1.435323099954985,100.0,100.0,0,True,start,0.16666666666666666,0,0.0,0.04113269998924807,0.04113269998924807,0.9905935000278987,False,near_0,5,1,0,0.625,0.5,start,16,0
