trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
11,True,5.7183648000936955,33.0,100.0,2,True,90,1.0,[14. 14.],52,0.8320000000000001,0.8400004000868648,0.46976100001484156,True,near_2,2,1,1,0.75,0.5,start,8,0
12,True,1.659682400058955,800.0,100.0,1,False,0,1.0,[14. 14.],52,0.8320000000000001,0.8367824000306427,0.41146919992752373,True,far_1,2,1,1,0.75,0.5,start,8,0
13,True,2.685847599990666,800.0,33.0,3,False,0,1.0,[14. 14.],52,0.8320000000000001,0.8344411998987198,0.3667301000095904,True,far_3,2,1,1,0.75,0.5,start,8,0
14,True,2.005370100028813,100.0,33.0,2,False,0,1.0,[14. 14.],52,0.8320000000000001,0.8343776999972761,0.3649087001103908,True,far_2,2,1,1,0.75,0.5,start,8,0
15,True,2.348691799910739,50.0,800.0,2,True,0,1.0,[14. 14.],44,0.704,0.7093464999925345,0.45104640000499785,True,near_2,3,1,1,0.75,0.5,start,8,0
16,True,5.8354841999243945,800.0,33.0,3,False,90,1.0,[14. 14.],44,0.704,0.7062264000996947,0.42511490010656416,True,far_3,3,1,1,0.75,0.5,start,8,0
17,True,1.9224036999512464,33.0,33.0,0,True,90,1.0,[14. 14.],44,0.704,0.7055340998340398,0.2976838001050055,True,near_0,3,1,1,0.75,0.5,start,8,0
18,True,1.7284927999135107,100.0,50.0,1,False,90,1.0,[14. 14.],44,0.704,0.7103246001061052,0.35286540002562106,True,far_1,3,1,1,0.75,0.5,start,8,0
19,False,1.9699166999198496,33.0,800.0,3,True,90,1.0,[14. 14.],44,0.704,0.7072198998648673,0.4466772999148816,True,near_3,3,1,1,0.75,0.5,start,8,0
20,True,1.3199065998196602,100.0,33.0,2,False,0,1.0,[14. 14.],44,0.704,0.7062232999596745,0.4021091000176966,True,far_2,3,1,1,0.75,0.5,start,8,0
21,True,1.7079215999692678,33.0,50.0,1,True,0,1.0,[14. 14.],44,0.704,0.7091574999503791,0.30590829998254776,True,near_1,3,1,1,0.75,0.5,start,8,0
22,True,1.34582499996759,100.0,800.0,1,True,0,1.0,[14. 14.],36,0.5760000000000001,0.5800274999346584,0.412027700105682,True,near_1,4,1,1,0.75,0.5,start,8,0
23,True,1.841471299994737,50.0,33.0,1,False,90,1.0,[14. 14.],36,0.5760000000000001,0.578339499887079,0.4250528998672962,True,far_1,4,1,1,0.75,0.5,start,8,0
24,True,1.6974165998399258,800.0,33.0,3,False,0,1.0,[14. 14.],36,0.5760000000000001,0.5794265000149608,0.444797599921003,True,far_3,4,1,1,0.75,0.5,start,8,0
25,True,2.446173300035298,50.0,50.0,0,True,0,1.0,[14. 14.],36,0.5760000000000001,0.58047050004825,0.3074030999559909,True,near_0,4,1,1,0.75,0.5,start,8,0
26,True,1.4469816000200808,100.0,33.0,2,False,90,1.0,[14. 14.],36,0.5760000000000001,0.5786773997824639,0.38647789997048676,True,far_2,4,1,1,0.75,0.5,start,8,0
27,True,1.360946699976921,33.0,800.0,3,True,0,1.0,[14. 14.],44,0.704,0.7070188000798225,0.4236866000574082,True,near_3,3,1,1,0.75,0.5,start,8,0
28,True,1.9271677997894585,33.0,100.0,2,True,0,1.0,[14. 14.],36,0.5760000000000001,0.5818793000653386,0.34146349993534386,True,near_2,4,1,1,0.75,0.5,start,8,0
29,True,2.614926700014621,33.0,800.0,3,True,90,1.0,[14. 14.],36,0.5760000000000001,0.5803909997921437,0.5549676001537591,True,near_3,4,1,1,0.75,0.5,start,8,0
