trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
55,True,2.7806163000059314,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.3039457999984734,0.3039457999984734,0.6551125000114553,True,near-rnd2,8,2,2,1.25,1.0,up,16,0
56,True,1.7946113999933004,800.0,50.0,33.0,10,False,2,up,0.25,16,0.1702579999982845,0.298287400015397,0.4685454000136815,0.6215343999792822,True,near-160,8,3,3,1.875,1.0,up,16,0
57,True,1.504783899988979,800.0,50.0,33.0,10,False,2,down,0.25,0,0.16971570000168867,0.03817640000488609,0.20789210000657476,1.0968758999952115,False,near-160,9,1,0,0.625,0.5,down,8,0
58,True,1.216455899993889,800.0,50.0,33.0,15,False,2,up,0.25,8,0.25077969999983907,0.17524320000666194,0.426022900006501,1.0543356999987736,False,near-240,9,1,0,0.625,0.5,up,8,0
59,True,1.6440975999867078,800.0,50.0,33.0,0,False,2,down,0.25,12,0,0.23447729999315925,0.23447729999315925,0.7263108000042848,False,near-000,9,2,0,1.25,1,down,8,0
60,True,1.61919840000337,800.0,50.0,33.0,5,False,2,down,0.25,0,0.09107760002370924,0.037992199999280274,0.1290698000229895,1.219834899995476,True,near-080,9,1,1,0.625,0.5,down,8,0
61,True,2.999091600009706,800.0,33.0,50.0,0,False,3,down,0.25,44,0,0.7248279000050388,0.7248279000050388,0.6601534000074025,True,near-rnd3,9,3,3,1.875,1,down,8,0
62,True,3.1374745999928564,800.0,800.0,50.0,0,False,0,down,0.25,0,0,0.024097599991364405,0.024097599991364405,1.1413608000148088,True,near-rndm,9,1,1,0.625,0.5,down,8,0
63,True,1.187126899982104,800.0,100.0,50.0,0,False,1,up,0.25,16,0,0.3000748000049498,0.3000748000049498,0.4257073000189848,True,near-rnd2,9,3,3,1.875,1.0,up,16,0
64,True,1.9955748999782372,800.0,100.0,50.0,0,False,1,down,0.25,0,0,0.03819560000556521,0.03819560000556521,1.0025347000046168,False,near-rnd2,10,1,0,0.625,0.5,down,8,0
65,True,1.0508712000155356,800.0,50.0,33.0,5,False,2,down,0.25,0,0.09423449999303557,0.03839440000592731,0.13262889999896288,1.046898800006602,False,near-080,10,2,1,1.25,1,down,8,0
66,True,1.453867399977753,800.0,33.0,50.0,0,False,3,down,0.25,36,0,0.5975170000165235,0.5975170000165235,0.47198189998744056,True,near-rnd3,10,1,1,0.625,1,down,8,0
